universityName,fieldName,researcherCount
"""Aurel Vlaicu"" University of Arad",nanoscience,1
Aalborg University,exoskeleton,1
Aalborg University,geography,1
Aalborg University,social theory,1
Aarhus University,Fellows of the American Association for the Advancement of Science,1
Aarhus University,Foreign associates of the National Academy of Engineering,1
Aarhus University,Science journalists,1
Abkhazian State University,systematics,1
Academic University at the St. Petersburg Academy of Sciences,astronomy,1
Academic University at the St. Petersburg Academy of Sciences,geography,1
Acharya Nagarjuna University,Fellows of the Australian Academy of Technological Sciences and Engineering,1
Adam Mickiewicz University in Poznań,Members of the Polish Academy of Sciences,2
Adam Mickiewicz University in Poznań,animal morphology,1
Adam Mickiewicz University in Poznań,astronomy,3
Adam Mickiewicz University in Poznań,data science,1
Adam Mickiewicz University in Poznań,faunistics,1
Adam Mickiewicz University in Poznań,forensic science,1
Adam Mickiewicz University in Poznań,genetics,3
Adam Mickiewicz University in Poznań,geography,15
Adam Mickiewicz University in Poznań,histology,3
Adam Mickiewicz University in Poznań,hydrology,1
Adam Mickiewicz University in Poznań,parasitology,2
Adam Mickiewicz University in Poznań,quantum chemistry,1
Adam Mickiewicz University in Poznań,zoogeography,1
Adam Mickiewicz University in Poznań,zoophysiology,2
Agricultural University of Athens,geography,1
Agricultural University of Georgia,geography,1
Agricultural University of Kraków,genetics,1
Agricultural University of Tajikistan,genetics,1
Ain Shams University,Members of the United States National Academy of Sciences,1
Ain Shams University,Missouri University of Science and Technology alumni,1
Ain Shams University,National Medal of Science laureates,1
Ain Shams University,space sciences,1
Air Force Institute of Technology,Grainger College of Engineering alumni,1
Air Force Medical University,Members of the Chinese Academy of Sciences,1
Aix-Marseille University,Fellows of the Institute for Operations Research and the Management Sciences,1
Aix-Marseille University,Members of the United States National Academy of Engineering,1
Al-Mustansiriya University,Islamic sciences,3
Al-Mustansiriya University,geography,3
Al-Muthana University,geography,1
Albert Einstein College of Medicine,Fellows of the American Association for the Advancement of Science,3
Albert Einstein College of Medicine,genetics,2
Albert Einstein College of Medicine,neuroscience,1
Albert Szent-Györgyi Medical University,Members of the United States National Academy of Sciences,1
Albion College,Fellows of the American Association for the Advancement of Science,1
Albion College,University of Washington College of Arts and Sciences alumni,1
Alexandria University,Members of the French Academy of Sciences,1
Alexandru Ioan Cuza University,Members of the Romanian Academy of Sciences,5
Alexandru Ioan Cuza University,Romanian science writers,1
Alexandru Ioan Cuza University,histology,1
Alfred University,Cornell University College of Agriculture and Life Sciences alumni,1
Aligarh Muslim University,Fellows of the Indian Academy of Sciences,3
Aligarh Muslim University,"Recipients of the Shanti Swarup Bhatnagar Award in Earth, Atmosphere, Ocean & Planetary Sciences",1
"All India Institute of Medical Sciences, New Delhi",neuroscience,1
Ambrose Alli University,nutritional science,1
Ambrose Alli University,parasitology,1
"American College, Madurai",Fellows of the American Association for the Advancement of Science,1
"American College, Madurai",Indian Institute of Science alumni,1
American University of Beirut,Cockrell School of Engineering alumni,1
American University of Beirut,Kavli Prize laureates in Neuroscience,2
American University of Beirut,Members of the United States National Academy of Sciences,1
American University of Kuwait,neuroscience,1
American University of Rome,forensic science,1
Andhra Medical College,"Directors of the All India Institute of Medical Sciences, New Delhi",1
Andhra Medical College,Recipients of the Shanti Swarup Bhatnagar Award in Medical Science,1
Andhra University,Fellows of the National Academy of Medical Sciences,1
Andhra University,Recipients of the Padma Bhushan in science & engineering,1
Andhra University College of Engineering,Fellows of the Indian Academy of Sciences,1
Andrews University,Seventh-day Adventists in health science,1
Andrássy University Budapest,legal science,1
Ankara University,Members of the Serbian Academy of Sciences and Arts,1
Anselmianum,Historians of science,1
Antioch College,Harvard Graduate School of Arts and Sciences alumni,2
Antioch College,"University of Michigan College of Literature, Science, and the Arts alumni",1
Antioch College,University of Texas at Austin College of Natural Sciences alumni,1
Aristotle University of Thessaloniki,Female fellows of the Royal Academy of Engineering,1
Aristotle University of Thessaloniki,Members of the United States National Academy of Engineering,1
Arizona State University,astronomy,1
Arizona State University,biometrics,1
Arizona State University,food science,1
Arizona State University,geography,3
Arizona State University,hydrology,1
Arizona State University,information science,1
Arizona State University,kinesiology,1
Arizona State University,thanatology,1
Armenian National Agrarian University,genetics,1
Asahikawa Medical University,parasitology,2
Asian Institute of Technology,hydrology,1
Assiut University,histology,1
Assiut University,space sciences,1
Aston University,Fellows of the Academy of Medical Sciences (United Kingdom),1
Auburn University,Fellows of the American Society for Engineering Education,1
Auburn University,"Members of the Department of Computer Science, University of Oxford",1
Augustana College (Illinois),Members of the United States National Academy of Engineering,1
Australian National University,Foreign associates of the National Academy of Sciences,2
Australian National University,Members of the United States National Academy of Sciences,7
Australian National University,UC Berkeley College of Engineering faculty,1
Autonomous University of Barcelona,Fellows of the American Association for the Advancement of Science,1
Autonomous University of Chihuahua,Members of the Mexican Academy of Sciences,1
Autonomous University of Madrid,Philosophers of social science,1
